,game_key,winner_id,odd_team_1,odd_ml_1,odd_team_2,odd_ml_2
0,201810031x000892c0,24,29,-189,24,158
1,201810031x00000b48,8,8,-246,5,203
2,201810031x000aadc4,30,30,113,26,-134
3,201810031x00000484,16,16,-119,1,100
4,201810041x00000024,1,2,114,1,-136
5,201810041x000041ac,12,9,-165,12,140
6,201810041x00026c9e,18,18,-109,20,-109
7,201810041x00041e90,19,19,-190,25,161
8,201810041x0000077e,10,3,118,10,-141
9,201810041x000171a0,21,13,137,21,-161
10,201810041x00003db4,17,6,-100,17,-119
11,201810041x0001202e,15,15,-160,16,136
12,201810041x0004a472,23,22,-103,23,-115
13,201810041x0003827a,14,31,-181,14,152
14,201810051x00002efc,9,10,-158,9,134
15,201810051x000b89b0,29,28,104,29,-124
16,201810061x0006703c,24,25,-100,24,-119
17,201810061x000006d8,2,2,-131,13,110
18,201810061x000aadc4,26,26,-215,30,176
19,201810061x00013c6c,18,18,-112,14,-107
20,201810061x00038274,19,19,-105,23,-114
21,201810061x0006e1c6,31,20,-122,31,102
22,201810061x0001b7fc,11,11,-101,27,-119
23,201810061x00013ea8,21,12,132,21,-157
24,201810061x00029c34,17,22,-180,17,151
25,201810061x0000062e,7,7,-187,4,157
26,201810071x00004c30,9,9,-211,13,173
27,201810071x00006614,8,17,119,8,-141
28,201810071x0000345a,28,28,-196,3,162
29,201810081x000026e2,24,24,-202,3,168
30,201810081x000000c4,1,1,-274,6,223
31,201810081x000023e2,2,2,121,31,-145
32,201810081x000250f0,12,12,139,29,-166
33,201810091x0001767c,9,9,-205,30,171
34,201810091x0000aa08,10,10,-157,18,132
35,201810091x00007e12,8,19,-133,8,111
36,201810091x00056050,26,21,-170,26,142
37,201810091x00031598,29,14,-119,29,100
38,201810091x000761ee,23,23,-199,28,166
39,201810101x0006703c,25,24,-159,25,134
40,201810101x00002ad0,14,6,114,14,-136
41,201810101x0004823e,16,16,-151,31,127
42,201810111x00000c40,1,1,-176,27,148
43,201810111x00000ca0,18,2,-101,18,-120
44,201810111x00000502,8,3,146,8,-175
45,201810111x00000bb6,10,4,-137,10,115
46,201810111x00022cf4,20,20,-166,17,140
47,201810111x000075d8,28,5,-116,28,-102
48,201810111x0000a1fa,11,11,-114,16,-105
49,201810111x00043f48,21,21,-132,23,110
50,201810111x0002afc0,13,13,129,29,-152
51,201810111x0003fe5c,15,15,-197,31,163
52,201810111x0005e05c,22,22,-127,26,106
53,201810111x0000ef92,30,7,-297,30,238
54,201810131x000017ac,2,25,-147,2,123
55,201810131x00000040,1,1,-257,3,210
56,201810131x00029c34,17,17,-104,22,-114
57,201810131x00040258,26,18,-127,26,106
58,201810131x0003cef2,19,19,-169,24,142
59,201810131x00005d82,30,4,-205,30,170
60,201810131x0000abac,9,20,-139,9,117
61,201810131x000023c8,5,5,133,15,-157
62,201810131x00013ea8,21,21,-226,12,185
63,201810131x00025708,27,13,-106,27,-113
64,201810131x0000a072,6,6,129,28,-153
65,201810131x0003827a,31,14,-116,31,-103
66,201810131x00001e0a,7,7,-171,10,143
67,201810131x00005b08,8,16,-117,8,-102
68,201810141x0001f928,11,11,-105,29,-113
69,201810141x0005099e,24,22,-161,24,135
70,201810141x0000e050,23,23,-180,9,151
71,201810151x00000238,5,5,-161,3,136
72,201810151x00034048,21,21,-204,20,169
73,201810151x00004c36,6,6,150,19,-179
74,201810151x0001095c,8,8,-183,28,153
75,201810161x00048abc,20,20,-159,25,135
76,201810161x0000e04c,11,11,-138,19,116
77,201810161x00011398,13,13,117,18,-140
78,201810161x000015d2,14,14,-125,4,104
